location,lat,long,area
Old home,38.9264422,-77.0292359,dc
Home,38.9332526,-77.0321594,dc
Work,38.9042756,-77.0396736,dc
Polo fields,38.8945102,-77.0443783,dc
Glen's Garden Market,38.9143316,-77.0473515,dc
Hana Market,38.9171308,-77.040826,dc
Regal Cinemas Gallery Place 14,38.8989532,-77.0229214,dc
Cardozo High School,38.9214711,-77.0305738,dc
DC Library Express,38.9019313,-77.0467154,dc
Giant,38.9279359,-77.0338062,dc
Lafayette Park,38.9032183,-77.0370942,dc
1150 15th St NW,38.9044758,-77.0371412,dc
TJ's 14th St,38.9160496,-77.0343836,dc
Banneker,38.9227031,-77.0247707,dc
CVS near home,38.9285852,-77.0328364,dc
La Colombe,38.9199788,-77.0332239,dc
Target,38.9300123,-77.0347939,dc
Big Hunt,38.9084637,-77.0446348,dc
Raven Grill,38.9293913,-77.0395863,dc
Friendship Heights metro,38.9609188,-77.0882904,dc
Lake Fairfax,38.9691005,-77.319131,dc
Mookie's BBQ,38.9734925,-77.298098,dc
Woodley Park metro,38.9245087,-77.0545738,dc
930 club,38.9180011,-77.025886,dc
DC library Mount Pleasant,38.9308792,-77.037385,dc
Oakland home,37.8107436,-122.2589642,sf
Pier 27,37.8048858,-122.403662,sf
Big Rec Field,37.7659851,-122.4650502,sf
Coffee Cantata,37.7696934,-122.452846,sf
Zoey's house,37.7653541,-122.4516347,sf
Branch Line,37.8409397,-122.2974264,sf
Bushrod Park,37.8454631,-122.2657171,sf
Fitness SF,37.8096031,-122.2519365,sf
Shan Dong,37.800612,-122.2721805,sf
Freezing Point Creamery,37.7983564,-122.2738788,sf
Crossroads,37.8316405,-122.2703492,sf
Alex's house,37.604004,-122.3930974,sf
Embarcadero metro,37.792935,-122.398902,sf
Greenberg,37.8373312,-122.2886947,sf
Walgreens,37.8098957,-122.2450211,sf
TJ's Oakland,37.8008405,-122.2519597,sf
MacArthur station,37.8290685,-122.2692357,sf
TJ's Foggy Bottom,38.9040968,-77.0552127,dc
Compass Coffee,38.9004958,-77.0417781,dc
Eliza's house,38.9123012,-77.0698177,dc
Serena's apartment,38.9285424,-77.0392307,dc
Sticky Fingers,38.9304689,-77.0339925,dc
Lukiih's apartment,38.9287533,-77.0335126,dc
National Press Club,38.8971252,-77.0337537,dc